yearCE,Al (ug/L),As (ng/L),Ba (ng/L),Bi (ng/L),Ca (ug/L),Cd (ng/L),Ce (ng/L),Co (ng/L),Cr (ng/L),Cs (ng/L),Cu (ng/L),Fe (ug/L),K (ug/L),La (ng/L),Li (ng/L),Mg (ug/L),Mn (ng/L),Na (ug/L),Pb (ng/L),Pr (ng/L),S (ug/L),Si (u/g/L),Sr (ng/L),Ti (ng/L),U (pg/L),V (ng/L),depth (m abs),depth (m we) 
2009.0,15.287781818181816,13.317402272727271,1035.812085,2.2907704545454544,383.70393999999993,15.542213636363636,59.65290454545454,34.092271818181814,38.57450045454546,2.9795213636363638,348.86463954545457,6.3443499999999995,15.537691363636362,29.059730909090913,35.66347454545455,26.475874545454552,2031.6470031818178,25.87301318181818,204.81883681818184,7.978453181818182,217.86966863636368,20.69220954545455,1318.1344645454546,178.57919863636363,1570.5565540909085,151.21956318181816,5.445762237727273,2.1956576485454544
1999.0,32.975613882352945,22.563948235294117,938.0389890588237,4.41479682352941,280.08128999999997,13.100012588235295,75.38181929411765,38.40277141176471,63.25721882352942,4.8765339999999995,305.49726200000015,17.118629999999992,20.61310870588235,33.13032576470588,47.77888517647058,35.84293494117647,1690.5368434117647,33.02628058823529,293.9675783529413,9.87871717647059,168.99663976470592,46.64495905882352,1229.980570352941,506.1341797647059,3359.4699681176467,151.45966058823527,9.003366666705881,4.022515686317648
1989.0,27.533107799999993,34.53435679999999,854.9484092000001,7.451613799999998,360.1932256000002,29.219083599999994,63.41953740000001,36.42687020000001,79.01964780000002,9.600847599999998,517.13352,15.608020199999997,131.26362800000007,28.040095,50.09253339999999,41.29303779999999,1385.617976,409.74983060000005,527.042502,8.387846,210.983295,34.15065460000001,1628.542761400001,464.88663640000004,2697.0183934000006,139.73511840000003,12.847490000000002,6.18799849784
1979.0,59.952506250000006,50.03604138888889,1431.1643655555554,2.689888333333334,368.98875736111097,28.72631125,126.4324373611111,57.24981,115.8736901388889,6.723317499999998,354.70889944444434,37.104002083333334,30.72761541666667,53.02882208333335,90.86244847222221,56.096026249999994,2989.5821113888883,48.35824152777779,1648.0944426388892,16.905254999999993,290.7448443055555,75.58116003749998,1749.7182113888887,545.1049977777778,4188.127217361111,295.5507790277777,16.533738425,8.453169496486112
1969.0,22.230869787234052,117.57865808510637,799.3520285106382,7.029731063829787,171.36110021276596,77.84152085106382,55.896800851063844,34.875150638297875,105.23448808510635,8.173870212765953,470.7657712765958,17.12481489361702,20.105098723404257,25.59661361702128,46.664544893617,28.1993485106383,2138.456980851064,31.48898085106384,3888.121749148937,6.979200425531915,448.438824893617,16.266555106382977,801.5894836170213,382.7714314893616,2513.36272,294.56569297872346,19.27911854255319,10.199537038212764
1959.0,17.605357777777776,127.06058500000002,745.8756433333334,10.150632222222221,186.54210305555554,60.18622222222223,38.39669555555555,28.99026583333333,89.30851472222224,9.226759722222221,401.5956130555554,12.35809611111111,41.27946638888888,18.440476666666665,58.07836222222222,28.076891944444448,2797.884861666668,68.60744444444445,2220.1380533333336,5.020374444444445,243.42335972222224,15.368049166666667,824.3119186111112,345.9821833333333,1562.0097994444445,118.80783416666668,22.018407886111113,11.962550453333332
1949.0,19.116048970588235,85.49430838235295,529.2671576470589,5.301236764705885,180.6855786764706,49.40783735294118,37.66265088235295,26.118747941176462,69.45538191176473,6.106207205882354,226.346724117647,13.422652647058825,20.468868529411765,17.819851323529413,47.3115455882353,28.798947058823522,2105.7574575,31.612983970588235,796.9161713235294,5.023560882352942,137.88277617647054,23.053175441176464,836.9369088235297,378.06046073529404,2103.603014558824,65.08369044117647,24.809536939705882,13.864674546029406
1939.0,38.26868519999999,121.46130453333333,1034.7160993333332,5.822908133333333,427.87258173333345,29.20194559999999,96.99468853333337,48.49611826666666,285.0028617333334,9.384039733333333,416.5055063999999,30.906203199999993,58.164062933333334,48.242430399999996,115.84443026666665,70.08978186666661,2752.089054399999,103.36867653333339,633.0414471999999,11.663919866666673,156.72190066666673,86.21676160000001,1835.6267762666669,906.8220930666663,2203.6285437333327,118.02775893333336,28.109983333333336,16.230174831333347
1929.0,18.22365956521739,104.3882810869565,418.1482997826087,6.117063260869564,199.0579047826087,24.15187260869565,39.81984173913043,21.260499782608697,54.85603326086958,4.690936304347828,220.13316521739125,11.03808065217391,34.96634869565217,17.96698326086956,39.671481086956526,26.56675565217391,1099.7681380434783,141.9763845652174,552.4618104347825,5.10087347826087,93.57709413043476,24.887966304347827,737.0250091304346,307.28725478260867,1263.5868443478264,38.064733043478256,30.77542391304348,18.211392823260873
1919.0,18.278050263157898,115.27804684210528,930.3816384210527,6.79289052631579,337.9367486842106,23.4231,40.65301236842104,23.194802631578952,57.52574736842107,10.272133157894736,424.9658386842105,11.796810789473687,128.9853931578947,18.427797631578947,48.8133797368421,39.57624184210527,1118.0134873684212,523.2394986842105,722.0778663157895,5.270789473684211,138.65176763157896,24.845953157894737,1823.0137505263158,327.3392028947369,1334.6360923684208,42.55040447368422,32.58754083157895,19.588235061842102
1909.0,6.4986285294117625,42.371248529411766,215.21566323529416,4.411124999999999,71.26981176470586,12.382916764705882,11.614020294117646,12.891395000000003,14.332248529411764,1.9108752941176472,107.5082188235294,2.7888702941176473,10.99888911764706,4.962693529411767,17.308223529411766,16.640144117647058,542.9227341176471,26.249938529411764,407.48225029411753,1.5003188235294118,52.59217705882353,7.638780882352942,375.4306626470588,69.28389205882353,676.6072482352944,11.155077352941177,34.129345235294124,20.79547397852941
